mes,motor,mediana_s,min_s,max_s
1,PostgreSQL Relacional,0.019075249991146848,0.018049375008558854,0.019346415996551514
1,PG sin_optim,0.017992957989918068,0.01777066697832197,0.01803679100703448
1,BigQuery,1.0327945409808308,0.7868312499776948,1.037297833012417
2,PostgreSQL Relacional,0.017998875002376735,0.01743845798773691,0.01870562499971129
2,PG sin_optim,0.018003791017690673,0.017740790994139388,0.018024500022875145
2,BigQuery,1.2292806250043213,0.9495014580024872,1.6894331660005264
3,PostgreSQL Relacional,0.018348292011069134,0.018167917005484924,0.019495541986543685
3,PG sin_optim,0.0179704999900423,0.017320957995252684,0.01807912500225939
3,BigQuery,1.1305291669850703,0.8481705829908606,1.1456002500199247
4,PostgreSQL Relacional,0.017291916999965906,0.01702245802152902,0.01756450001266785
4,PG sin_optim,0.017599667015019804,0.017558666004333645,0.01792824998847209
4,BigQuery,1.0523047909955494,1.042480833013542,1.052890374994604
5,PostgreSQL Relacional,0.017570541996974498,0.01694316600332968,0.017587457987247035
5,PG sin_optim,0.017666917003225535,0.017267417017137632,0.01812820800114423
5,BigQuery,0.8882049169915263,0.83618466698681,1.0052905829797965
6,PostgreSQL Relacional,0.017630958987865597,0.017558583989739418,0.017758625006536022
6,PG sin_optim,0.01762695799698122,0.017479125002864748,0.018684125010622665
6,BigQuery,0.9777520839998033,0.8696359999885317,1.0023093330091797
7,PostgreSQL Relacional,0.01775216599344276,0.017584749992238358,0.017798582994146273
7,PG sin_optim,0.01780358300311491,0.017638916993746534,0.01784520799992606
7,BigQuery,0.9484662909817416,0.8309784999873955,1.1461147090012673
8,PostgreSQL Relacional,0.018018625007243827,0.01747904100921005,0.018047707999357954
8,PG sin_optim,0.017352791997836903,0.017311500007053837,0.01757791600539349
8,BigQuery,1.0022754160163458,0.9994071660039481,1.369757667009253
9,PostgreSQL Relacional,0.01678274999721907,0.016643499984638765,0.016940458008321002
9,PG sin_optim,0.017361000005621463,0.017080666992114857,0.017478209018008783
9,BigQuery,1.1996681250166148,1.0842591660039034,1.5527354160149116
10,PostgreSQL Relacional,0.016790166991995648,0.016781041980721056,0.016861084004631266
10,PG sin_optim,0.017802582995500416,0.017344041989417747,0.018068292003590614
10,BigQuery,1.056588124978589,0.8746158339781687,1.4027245410252362
11,PostgreSQL Relacional,0.01707183400867507,0.016716166981495917,0.017078000004403293
11,PG sin_optim,0.017266292008571327,0.016567208018386737,0.01771012498647906
11,BigQuery,0.9590445839858148,0.8043584999977611,1.0104277079808526
12,PostgreSQL Relacional,0.016878249996807426,0.01641345798270777,0.017152792017441243
12,PG sin_optim,0.017167374986456707,0.016978291008854285,0.017450541985454038
12,BigQuery,1.047359874995891,0.8675231249944773,1.0504296250001062
